algorithm,runs,average_best_distance,average_distance_per_city,best_distance,worst_distance
BlindBlendAS,101,15622.51898011,156.22518980,14627.39021451,17053.24601096
BaselineAS,101,16009.59142318,160.09591423,14818.26326797,17516.40706636
ElitistAS,101,15941.45800659,159.41458007,14742.00704606,17445.22877715
MaxMinAS,101,15709.51719698,157.09517197,14629.26453905,17024.10974709
