algorithm,runs,average_best_distance,average_distance_per_city,best_distance,worst_distance
BlindBlendAS,101,44812.17281763,224.06086409,42170.39550035,47218.40450647
BaselineAS,101,47534.25103875,237.67125519,44768.04754276,50783.12601502
ElitistAS,101,47056.31922438,235.28159612,42375.61979992,50459.88718119
MaxMinAS,101,45659.68202471,228.29841012,42821.22526538,48573.69572453
