algorithm,runs,average_best_distance,average_distance_per_city,best_distance,worst_distance
BlindBlendAS,41,20830.27251859,172.85113938,15858.59164147,26044.48347273
BaselineAS,41,21487.07893251,178.35427065,16110.00351473,26329.90792227
ElitistAS,41,21362.76958413,177.28689655,15999.76229235,26451.09391366
MaxMinAS,41,20800.32294234,172.69543042,15504.71263950,25734.36569313
