n_cities,algorithm,best_distance,distance_per_city
100,BlindBlendAS,29396.82672200,195.97884481
100,BaselineAS,29523.75297241,196.82501982
100,ElitistAS,29607.53392905,197.38355953
100,MaxMinAS,29422.56270452,196.15041803
101,BlindBlendAS,29659.98970417,197.73326469
101,BaselineAS,31490.42709805,209.93618065
101,ElitistAS,30171.09392151,201.14062614
101,MaxMinAS,29970.10541053,199.80070274
102,BlindBlendAS,29917.99561533,199.45330410
102,BaselineAS,32974.28681265,219.82857875
102,ElitistAS,32861.34970354,219.07566469
102,MaxMinAS,30304.44826994,202.02965513
103,BlindBlendAS,29593.87476527,197.29249844
103,BaselineAS,30791.18943649,205.27459624
103,ElitistAS,30679.32303536,204.52882024
103,MaxMinAS,29111.55495822,194.07703305
104,BlindBlendAS,29059.07568475,193.72717123
104,BaselineAS,30856.74797815,205.71165319
104,ElitistAS,30230.07459708,201.53383065
104,MaxMinAS,29870.98605326,199.13990702
105,BlindBlendAS,28852.14190481,192.34761270
105,BaselineAS,28331.79202970,188.87861353
105,ElitistAS,28049.13752650,186.99425018
105,MaxMinAS,29298.08560105,195.32057067
106,BlindBlendAS,29186.59287287,194.57728582
106,BaselineAS,30177.71111064,201.18474074
106,ElitistAS,29251.69196383,195.01127976
106,MaxMinAS,29091.45607380,193.94304049
107,BlindBlendAS,30392.36465916,202.61576439
107,BaselineAS,31407.75757477,209.38505050
107,ElitistAS,31676.80389797,211.17869265
107,MaxMinAS,31127.83101561,207.51887344
108,BlindBlendAS,29324.16469229,195.49443128
108,BaselineAS,30246.94344740,201.64628965
108,ElitistAS,29593.80231281,197.29201542
108,MaxMinAS,30108.88128385,200.72587523
109,BlindBlendAS,28544.16742225,190.29444948
109,BaselineAS,30352.99801136,202.35332008
109,ElitistAS,29645.22566949,197.63483780
109,MaxMinAS,28548.90241587,190.32601611
110,BlindBlendAS,28677.71439686,191.18476265
110,BaselineAS,30391.37953768,202.60919692
110,ElitistAS,29858.76124153,199.05840828
110,MaxMinAS,29696.61139423,197.97740929
111,BlindBlendAS,28434.78647887,189.56524319
111,BaselineAS,30612.77948723,204.08519658
111,ElitistAS,29440.41866321,196.26945775
111,MaxMinAS,29394.91287596,195.96608584
112,BlindBlendAS,29737.31258692,198.24875058
112,BaselineAS,31269.20006758,208.46133378
112,ElitistAS,30936.79994572,206.24533297
112,MaxMinAS,29736.90797691,198.24605318
113,BlindBlendAS,26956.24862231,179.70832415
113,BaselineAS,28220.59866152,188.13732441
113,ElitistAS,28276.07851916,188.50719013
113,MaxMinAS,27213.86357945,181.42575720
