algorithm,runs,average_best_distance,average_distance_per_city,best_distance,worst_distance
BlindBlendAS,21,18013.56177106,163.55379291,15251.54950366,20394.34427583
BaselineAS,21,18510.51096627,168.03251450,15737.56234117,21709.76481290
ElitistAS,21,18407.54491783,167.10170182,15509.39943595,21248.45257696
MaxMinAS,21,18031.02320561,163.70504725,15326.92671112,20694.10518333
