schedule,start_evaporation,end_evaporation,curve,seed_index,python_seed,city_seed,best_distance,blind_rounds,final_pheromone_min,final_pheromone_max,final_pheromone_mean
exponential,0.90000000,0.20000000,1.00000000,9,57,57,7716.48742498,9,0.00647963,0.63853653,0.02722222
exponential,0.90000000,0.20000000,2.00000000,0,48,48,6954.85093229,6,0.00718923,0.64673926,0.02885980
exponential,0.90000000,0.20000000,2.00000000,1,49,49,7611.05045656,3,0.00656940,0.58928143,0.02624564
exponential,0.90000000,0.20000000,2.00000000,2,50,50,8072.66506513,3,0.00619374,0.55662058,0.02475365
exponential,0.90000000,0.20000000,2.00000000,3,51,51,7556.46569954,6,0.00661685,0.60298344,0.02615283
exponential,0.90000000,0.20000000,2.00000000,4,52,52,6866.39410594,0,0.00728184,0.65373391,0.02919123
exponential,0.90000000,0.20000000,2.00000000,5,53,53,7436.14890783,3,0.00672391,0.60350061,0.02689167
exponential,0.90000000,0.20000000,2.00000000,6,54,54,7494.60579549,3,0.00667146,0.70040009,0.03027793
exponential,0.90000000,0.20000000,2.00000000,7,55,55,7782.79672705,3,0.00642443,0.57778626,0.02577963
exponential,0.90000000,0.20000000,2.00000000,8,56,56,8346.58237904,6,0.00599048,0.53404250,0.02369617
exponential,0.90000000,0.20000000,2.00000000,9,57,57,7716.48742498,9,0.00647963,0.58377501,0.02578276
exponential,0.90000000,0.20000000,4.00000000,0,48,48,6954.85093229,6,0.00718923,0.58815347,0.02679606
exponential,0.90000000,0.20000000,4.00000000,1,49,49,7611.05045656,3,0.00656940,0.53778096,0.02456016
exponential,0.90000000,0.20000000,4.00000000,2,50,50,8080.87174691,6,0.00618745,0.62401919,0.02709936
exponential,0.90000000,0.20000000,4.00000000,3,51,51,7556.46569954,6,0.00661685,0.54571495,0.02430722
exponential,0.90000000,0.20000000,4.00000000,4,52,52,6855.78566400,3,0.00729311,0.73612326,0.03199920
exponential,0.90000000,0.20000000,4.00000000,5,53,53,7521.14560496,6,0.00664792,0.53729530,0.02450215
exponential,0.90000000,0.20000000,4.00000000,6,54,54,7494.60579549,3,0.00667146,0.54560721,0.02486859
exponential,0.90000000,0.20000000,4.00000000,7,55,55,7888.93530849,9,0.00633799,0.63875023,0.02774944
exponential,0.90000000,0.20000000,4.00000000,8,56,56,8347.27784926,0,0.00598998,0.49027184,0.02239678
exponential,0.90000000,0.20000000,4.00000000,9,57,57,7716.48742498,9,0.00647963,0.65291979,0.02836697
logarithmic,0.90000000,0.20000000,-9.00000000,0,48,48,6954.85093229,3,0.00718923,0.60510366,0.02668632
logarithmic,0.90000000,0.20000000,-9.00000000,1,49,49,7612.41026641,3,0.00656822,0.55232792,0.02501268
logarithmic,0.90000000,0.20000000,-9.00000000,2,50,50,7883.67444908,6,0.00634222,0.52591825,0.02361861
logarithmic,0.90000000,0.20000000,-9.00000000,3,51,51,7556.46569954,6,0.00661685,0.56307335,0.02486021
logarithmic,0.90000000,0.20000000,-9.00000000,4,52,52,6855.78566400,3,0.00729311,0.61565139,0.02790412
logarithmic,0.90000000,0.20000000,-9.00000000,5,53,53,7436.14890783,3,0.00672391,0.56754642,0.02572279
logarithmic,0.90000000,0.20000000,-9.00000000,6,54,54,7494.60579549,3,0.00667146,0.68189925,0.02965083
logarithmic,0.90000000,0.20000000,-9.00000000,7,55,55,7913.29814630,9,0.00631848,0.64183622,0.02782691
logarithmic,0.90000000,0.20000000,-9.00000000,8,56,56,8367.85916219,6,0.00597524,0.48961092,0.02215942
logarithmic,0.90000000,0.20000000,-9.00000000,9,57,57,7716.48742498,9,0.00647963,0.54753068,0.02465070
logarithmic,0.90000000,0.20000000,-3.00000000,0,48,48,6954.85093229,3,0.00718923,0.66747200,0.02877478
logarithmic,0.90000000,0.20000000,-3.00000000,1,49,49,7611.05045656,6,0.00656940,0.60721118,0.02622769
logarithmic,0.90000000,0.20000000,-3.00000000,2,50,50,7914.97353090,6,0.00631714,0.56160086,0.02446429
logarithmic,0.90000000,0.20000000,-3.00000000,3,51,51,7556.46569954,6,0.00661685,0.61305591,0.02648114
logarithmic,0.90000000,0.20000000,-3.00000000,4,52,52,6855.78566400,6,0.00729311,0.66970513,0.02887518
logarithmic,0.90000000,0.20000000,-3.00000000,5,53,53,7436.14890783,3,0.00672391,0.61492041,0.02733718
logarithmic,0.90000000,0.20000000,-3.00000000,6,54,54,7494.60579549,6,0.00667146,0.60808545,0.02660495
logarithmic,0.90000000,0.20000000,-3.00000000,7,55,55,7905.32533994,3,0.00632485,0.57708469,0.02558371
logarithmic,0.90000000,0.20000000,-3.00000000,8,56,56,8232.25199510,6,0.00607367,0.55303828,0.02452422
logarithmic,0.90000000,0.20000000,-3.00000000,9,57,57,7716.48742498,9,0.00647963,0.61296560,0.02633830
logarithmic,0.90000000,0.20000000,-1.00000000,0,48,48,6954.85093229,6,0.00718923,0.69283424,0.03013255
logarithmic,0.90000000,0.20000000,-1.00000000,1,49,49,7611.05045656,6,0.00656940,0.62949441,0.02736429
logarithmic,0.90000000,0.20000000,-1.00000000,2,50,50,8065.83167594,0,0.00619899,0.59677505,0.02620283
logarithmic,0.90000000,0.20000000,-1.00000000,3,51,51,7556.46569954,6,0.00661685,0.71571244,0.03077551
logarithmic,0.90000000,0.20000000,-1.00000000,4,52,52,6855.78566400,3,0.00729311,0.78871893,0.03378159
logarithmic,0.90000000,0.20000000,-1.00000000,5,53,53,7614.86902150,3,0.00656610,0.62753965,0.02711241
logarithmic,0.90000000,0.20000000,-1.00000000,6,54,54,7494.60579549,6,0.00667146,0.63622392,0.02747497
logarithmic,0.90000000,0.20000000,-1.00000000,7,55,55,7787.24265640,3,0.00642076,0.61825598,0.02715241
logarithmic,0.90000000,0.20000000,-1.00000000,8,56,56,8211.67068217,6,0.00608889,0.57290940,0.02470240
logarithmic,0.90000000,0.20000000,-1.00000000,9,57,57,7808.43507937,6,0.00640333,0.66359710,0.02815887
logarithmic,0.90000000,0.20000000,1.00000000,0,48,48,6954.85093229,3,0.00718923,0.78622181,0.03312144
logarithmic,0.90000000,0.20000000,1.00000000,1,49,49,7611.05045656,6,0.00656940,0.71490217,0.03017267
logarithmic,0.90000000,0.20000000,1.00000000,2,50,50,8065.83167594,3,0.00619899,0.62198309,0.02660690
logarithmic,0.90000000,0.20000000,1.00000000,3,51,51,7556.46569954,6,0.00661685,0.68889143,0.02940726
logarithmic,0.90000000,0.20000000,1.00000000,4,52,52,6832.91087139,3,0.00731753,0.75933088,0.03275885
logarithmic,0.90000000,0.20000000,1.00000000,5,53,53,7444.03551223,3,0.00671679,0.69232111,0.02973480
logarithmic,0.90000000,0.20000000,1.00000000,6,54,54,7547.71037239,9,0.00662453,0.68766200,0.02909969
logarithmic,0.90000000,0.20000000,1.00000000,7,55,55,7985.11121462,0,0.00626165,0.65040784,0.02809154
logarithmic,0.90000000,0.20000000,1.00000000,8,56,56,8231.71611541,3,0.00607407,0.63106560,0.02717968
logarithmic,0.90000000,0.20000000,1.00000000,9,57,57,7685.45940891,3,0.00650579,0.67517921,0.02848092
logarithmic,0.90000000,0.20000000,3.00000000,0,48,48,6954.85093229,3,0.00718923,0.80018970,0.03361276
logarithmic,0.90000000,0.20000000,3.00000000,1,49,49,7657.87941280,3,0.00652922,0.69651664,0.02989314
logarithmic,0.90000000,0.20000000,3.00000000,2,50,50,8079.43447271,3,0.00618855,0.64846201,0.02719534
logarithmic,0.90000000,0.20000000,3.00000000,3,51,51,7556.46569954,3,0.00661685,0.71350639,0.02983934
logarithmic,0.90000000,0.20000000,3.00000000,4,52,52,6855.78566400,9,0.00729311,0.77759412,0.03245472
logarithmic,0.90000000,0.20000000,3.00000000,5,53,53,7513.03074192,9,0.00665510,0.71111083,0.02988427
logarithmic,0.90000000,0.20000000,3.00000000,6,54,54,7507.41944046,9,0.00666008,0.71982509,0.03015382
logarithmic,0.90000000,0.20000000,3.00000000,7,55,55,7802.24569799,0,0.00640841,0.68326026,0.02933715
logarithmic,0.90000000,0.20000000,3.00000000,8,56,56,8262.25592702,6,0.00605162,0.68590011,0.02933923
logarithmic,0.90000000,0.20000000,3.00000000,9,57,57,7685.45940891,9,0.00650579,0.68645495,0.02875192
logarithmic,0.90000000,0.20000000,9.00000000,0,48,48,6954.85093229,3,0.00718923,0.81398911,0.03409536
logarithmic,0.90000000,0.20000000,9.00000000,1,49,49,7611.05045656,9,0.00656940,0.73826509,0.03083103
logarithmic,0.90000000,0.20000000,9.00000000,2,50,50,7883.67444908,3,0.00634222,0.72755528,0.03096199
logarithmic,0.90000000,0.20000000,9.00000000,3,51,51,7556.46569954,0,0.00661685,0.72393114,0.03092110
logarithmic,0.90000000,0.20000000,9.00000000,4,52,52,6917.71335385,3,0.00722782,0.79089769,0.03377025
logarithmic,0.90000000,0.20000000,9.00000000,5,53,53,7436.14890783,9,0.00672391,0.72918289,0.03047123
logarithmic,0.90000000,0.20000000,9.00000000,6,54,54,7507.41944046,12,0.00666008,0.73093904,0.03048046
logarithmic,0.90000000,0.20000000,9.00000000,7,55,55,7890.39569371,3,0.00633682,0.70166693,0.02928162
logarithmic,0.90000000,0.20000000,9.00000000,8,56,56,8347.27784926,0,0.00598998,0.65473567,0.02795849
logarithmic,0.90000000,0.20000000,9.00000000,9,57,57,7716.48742498,6,0.00647963,0.72874992,0.03044561
linear,0.80000000,0.20000000,1.00000000,0,48,48,6954.85093229,6,0.00718923,0.73523005,0.03178721
linear,0.80000000,0.20000000,1.00000000,1,49,49,7637.38789790,6,0.00654674,0.67577585,0.02844500
linear,0.80000000,0.20000000,1.00000000,2,50,50,8111.43839936,0,0.00616413,0.63071463,0.02732560
linear,0.80000000,0.20000000,1.00000000,3,51,51,7556.46569954,9,0.00661685,0.70200832,0.02956480
linear,0.80000000,0.20000000,1.00000000,4,52,52,6915.62465425,3,0.00723000,0.73785247,0.03193189
linear,0.80000000,0.20000000,1.00000000,5,53,53,7469.13622961,6,0.00669421,0.69236385,0.02921493
linear,0.80000000,0.20000000,1.00000000,6,54,54,7507.41944046,9,0.00666008,0.68383409,0.02884394
linear,0.80000000,0.20000000,1.00000000,7,55,55,7802.53287662,6,0.00640818,0.65098136,0.02762736
linear,0.80000000,0.20000000,1.00000000,8,56,56,8262.25592702,6,0.00605162,0.61862202,0.02652164
linear,0.80000000,0.20000000,1.00000000,9,57,57,7719.98356753,6,0.00647670,0.66217252,0.02809525
exponential,0.80000000,0.20000000,-4.00000000,0,48,48,6954.85093229,3,0.00718923,0.84920303,0.03532495
exponential,0.80000000,0.20000000,-4.00000000,1,49,49,7611.05045656,6,0.00656940,0.76310150,0.03137833
exponential,0.80000000,0.20000000,-4.00000000,2,50,50,7898.79119371,0,0.00633008,0.74096574,0.03122333
exponential,0.80000000,0.20000000,-4.00000000,3,51,51,7556.46569954,6,0.00661685,0.77629480,0.03213597
exponential,0.80000000,0.20000000,-4.00000000,4,52,52,6855.78566400,3,0.00729311,0.86439169,0.03633492
