parameter,value,runs,average_best_distance,best_distance,worst_distance,stddev_best_distance,average_blind_rounds
min_max_tau_ratio,1.0000,10,9363.37015714,8701.22273481,9925.62408891,450.31516615,6.50000000
min_max_tau_ratio,0.5000,10,9366.90966521,8701.22273481,9932.88003443,444.41887804,5.00000000
min_max_tau_ratio,2.0000,10,9369.33163843,8701.22273481,10074.56996649,462.86432848,7.50000000
min_max_tau_ratio,5.0000,10,9370.51086550,8701.22273481,9925.62408891,440.53089944,7.50000000
min_max_tau_ratio,10.0000,10,9398.22658763,8701.22273481,9973.21672904,461.63750614,6.50000000
min_max_tau_ratio,3.0000,10,9410.28334422,8701.22273481,10074.56996649,468.03342227,7.00000000
min_max_tau_ratio,20.0000,10,9412.49826931,8701.22273481,10051.00844264,464.78104637,5.00000000
