run_id,n_cities,algorithm,iteration,iteration_best_distance,global_best_distance
100,150,BlindBlendAS,1,48277.75050012,48277.75050012
100,150,BlindBlendAS,2,48218.47126042,48218.47126042
100,150,BlindBlendAS,3,48113.93943990,48113.93943990
100,150,BlindBlendAS,4,44256.87448906,44256.87448906
100,150,BlindBlendAS,5,39615.15979508,39615.15979508
100,150,BlindBlendAS,6,39477.56215004,39477.56215004
100,150,BlindBlendAS,7,36502.70472516,36502.70472516
100,150,BlindBlendAS,8,35949.12579076,35949.12579076
100,150,BlindBlendAS,9,36112.22617430,35949.12579076
100,150,BlindBlendAS,10,35321.29005144,35321.29005144
100,150,BlindBlendAS,11,34582.33976053,34582.33976053
100,150,BlindBlendAS,12,34887.74732962,34582.33976053
100,150,BlindBlendAS,13,32780.45960131,32780.45960131
100,150,BlindBlendAS,14,32758.46730300,32758.46730300
100,150,BlindBlendAS,15,31990.65571770,31990.65571770
100,150,BlindBlendAS,16,31990.65571770,31990.65571770
100,150,BlindBlendAS,17,31969.82027589,31969.82027589
100,150,BlindBlendAS,18,31888.40583665,31888.40583665
100,150,BlindBlendAS,19,31867.57039485,31867.57039485
100,150,BlindBlendAS,20,31857.75633938,31857.75633938
100,150,BlindBlendAS,21,31748.70569284,31748.70569284
100,150,BlindBlendAS,22,31677.49639715,31677.49639715
100,150,BlindBlendAS,23,31646.84689988,31646.84689988
100,150,BlindBlendAS,24,31646.84689988,31646.84689988
100,150,BlindBlendAS,25,31646.84689988,31646.84689988
100,150,BlindBlendAS,26,31646.84689988,31646.84689988
100,150,BlindBlendAS,27,31646.84689988,31646.84689988
100,150,BlindBlendAS,28,31646.84689988,31646.84689988
100,150,BlindBlendAS,29,31608.40835582,31608.40835582
100,150,BlindBlendAS,30,31608.40835582,31608.40835582
100,150,BlindBlendAS,31,31608.40835582,31608.40835582
100,150,BlindBlendAS,32,31608.40835582,31608.40835582
100,150,BlindBlendAS,33,31608.40835582,31608.40835582
100,150,BlindBlendAS,34,31249.96278756,31249.96278756
100,150,BlindBlendAS,35,31098.22718611,31098.22718611
100,150,BlindBlendAS,36,30780.68240215,30780.68240215
100,150,BlindBlendAS,37,30780.68240215,30780.68240215
100,150,BlindBlendAS,38,30780.68240215,30780.68240215
100,150,BlindBlendAS,39,30713.37563216,30713.37563216
100,150,BlindBlendAS,40,30713.37563216,30713.37563216
100,150,BlindBlendAS,41,30713.37563216,30713.37563216
100,150,BlindBlendAS,42,30713.37563216,30713.37563216
100,150,BlindBlendAS,43,30713.37563216,30713.37563216
100,150,BlindBlendAS,44,30713.37563216,30713.37563216
100,150,BlindBlendAS,45,30713.37563216,30713.37563216
100,150,BlindBlendAS,46,30713.37563216,30713.37563216
100,150,BlindBlendAS,47,30713.37563216,30713.37563216
100,150,BlindBlendAS,48,30713.37563216,30713.37563216
100,150,BlindBlendAS,49,30713.37563216,30713.37563216
100,150,BlindBlendAS,50,30713.37563216,30713.37563216
100,150,BlindBlendAS,51,30713.37563216,30713.37563216
100,150,BlindBlendAS,52,30514.29088939,30514.29088939
100,150,BlindBlendAS,53,30514.29088939,30514.29088939
100,150,BlindBlendAS,54,30326.34434298,30326.34434298
100,150,BlindBlendAS,55,30323.71729715,30323.71729715
100,150,BlindBlendAS,56,30295.69686607,30295.69686607
100,150,BlindBlendAS,57,30199.15989625,30199.15989625
100,150,BlindBlendAS,58,30199.15989625,30199.15989625
100,150,BlindBlendAS,59,30199.15989625,30199.15989625
100,150,BlindBlendAS,60,30168.51241934,30168.51241934
