schedule,start_evaporation,end_evaporation,curve,runs,average_best_distance,best_distance,worst_distance,stddev_best_distance,average_blind_rounds,average_pheromone_min,average_pheromone_max,average_pheromone_mean
exponential,0.90000000,0.20000000,2.00000000,10,7583.80474939,6866.39410594,8346.58237904,426.55902390,4.20000000,0.00661410,0.60488631,0.02676313
exponential,0.70000000,0.30000000,-2.00000000,10,7584.21513056,6915.62465425,8379.93170858,407.27699678,5.40000000,0.00440787,0.51287979,0.02128210
exponential,0.60000000,0.20000000,1.00000000,10,7584.62611335,6954.85093229,8231.71611541,389.36588412,5.40000000,0.00660993,0.68651048,0.02924892
exponential,0.80000000,0.20000000,1.00000000,10,7585.29047155,6832.91087139,8262.25592702,407.05495168,4.50000000,0.00661129,0.64961726,0.02808112
logarithmic,0.70000000,0.40000000,-3.00000000,10,7586.44786323,6832.91087139,8354.45784538,417.95289122,5.40000000,0.00330557,0.37962637,0.01591606
logarithmic,0.90000000,0.20000000,3.00000000,10,7587.48273976,6855.78566400,8262.25592702,413.10198650,5.40000000,0.00660980,0.71228201,0.03004617
logarithmic,0.80000000,0.20000000,9.00000000,10,7588.84617915,6898.15779441,8347.27784926,411.32102363,5.10000000,0.00660826,0.73246315,0.03067256
logarithmic,0.70000000,0.30000000,-9.00000000,10,7589.09062977,6832.91087139,8369.66057895,419.75966938,4.80000000,0.00440599,0.46219967,0.01967065
logarithmic,0.80000000,0.20000000,1.00000000,10,7589.11120840,6884.95897719,8262.25592702,403.83034106,5.40000000,0.00660748,0.70498392,0.02989919
logarithmic,0.80000000,0.30000000,9.00000000,10,7589.13099842,6866.31642090,8252.29742834,398.12252839,4.80000000,0.00440472,0.51212490,0.02142033
exponential,0.70000000,0.40000000,-1.00000000,10,7589.16883937,6926.17394638,8379.93170858,414.87968952,4.50000000,0.00330408,0.38616186,0.01613474
logarithmic,0.80000000,0.30000000,-9.00000000,10,7589.28743763,6881.90333199,8211.67068217,401.51972184,4.50000000,0.00440477,0.45632581,0.01955834
linear,0.90000000,0.20000000,1.00000000,10,7589.31668519,6829.74792001,8262.25592702,430.20107222,4.20000000,0.00660987,0.67236786,0.02879879
exponential,0.90000000,0.20000000,-2.00000000,10,7589.71827159,6828.41388985,8231.71611541,423.77100181,4.80000000,0.00660898,0.73593896,0.03097157
logarithmic,0.60000000,0.20000000,-3.00000000,10,7590.89115024,6879.59292316,8232.25199510,409.71345493,4.80000000,0.00660651,0.66956016,0.02866863
