run_id,n_cities,algorithm,iteration,iteration_best_distance,global_best_distance
100,200,BlindBlendAS,1,78237.41367030,78237.41367030
100,200,BlindBlendAS,2,79171.91197735,78237.41367030
100,200,BlindBlendAS,3,76418.98456137,76418.98456137
100,200,BlindBlendAS,4,72157.69518420,72157.69518420
100,200,BlindBlendAS,5,70386.48709962,70386.48709962
100,200,BlindBlendAS,6,64829.02857162,64829.02857162
100,200,BlindBlendAS,7,61787.82213710,61787.82213710
100,200,BlindBlendAS,8,59651.49697823,59651.49697823
100,200,BlindBlendAS,9,59796.41488559,59651.49697823
100,200,BlindBlendAS,10,54595.88968819,54595.88968819
100,200,BlindBlendAS,11,54497.13893412,54497.13893412
100,200,BlindBlendAS,12,53970.65341283,53970.65341283
100,200,BlindBlendAS,13,54580.26868626,53970.65341283
100,200,BlindBlendAS,14,52356.41201211,52356.41201211
100,200,BlindBlendAS,15,53744.18506337,52356.41201211
100,200,BlindBlendAS,16,52972.19636227,52356.41201211
100,200,BlindBlendAS,17,53873.90261221,52356.41201211
100,200,BlindBlendAS,18,51524.76434702,51524.76434702
100,200,BlindBlendAS,19,50449.40289249,50449.40289249
100,200,BlindBlendAS,20,50181.07743632,50181.07743632
100,200,BlindBlendAS,21,49939.36524775,49939.36524775
100,200,BlindBlendAS,22,49939.36524775,49939.36524775
100,200,BlindBlendAS,23,49590.88507191,49590.88507191
100,200,BlindBlendAS,24,49475.07468874,49475.07468874
100,200,BlindBlendAS,25,49475.07468874,49475.07468874
100,200,BlindBlendAS,26,49251.78278637,49251.78278637
100,200,BlindBlendAS,27,49172.13074918,49172.13074918
100,200,BlindBlendAS,28,48872.35612767,48872.35612767
100,200,BlindBlendAS,29,48872.35612767,48872.35612767
100,200,BlindBlendAS,30,48872.35612767,48872.35612767
100,200,BlindBlendAS,31,48872.35612767,48872.35612767
100,200,BlindBlendAS,32,48834.66307433,48834.66307433
100,200,BlindBlendAS,33,48834.66307433,48834.66307433
100,200,BlindBlendAS,34,48601.13597303,48601.13597303
100,200,BlindBlendAS,35,47800.60693228,47800.60693228
100,200,BlindBlendAS,36,47800.60693228,47800.60693228
100,200,BlindBlendAS,37,47755.75163743,47755.75163743
100,200,BlindBlendAS,38,47614.23482399,47614.23482399
100,200,BlindBlendAS,39,47614.23482399,47614.23482399
100,200,BlindBlendAS,40,47573.93805877,47573.93805877
100,200,BlindBlendAS,41,47573.93805877,47573.93805877
100,200,BlindBlendAS,42,47573.93805877,47573.93805877
100,200,BlindBlendAS,43,47573.93805877,47573.93805877
100,200,BlindBlendAS,44,47509.08930719,47509.08930719
100,200,BlindBlendAS,45,47509.08930719,47509.08930719
100,200,BlindBlendAS,46,47509.08930719,47509.08930719
100,200,BlindBlendAS,47,47313.73855089,47313.73855089
100,200,BlindBlendAS,48,47177.92682694,47177.92682694
100,200,BlindBlendAS,49,47177.92682694,47177.92682694
100,200,BlindBlendAS,50,47068.66009571,47068.66009571
100,200,BlindBlendAS,51,47068.66009571,47068.66009571
100,200,BlindBlendAS,52,47068.66009571,47068.66009571
100,200,BlindBlendAS,53,47068.66009571,47068.66009571
100,200,BlindBlendAS,54,47068.66009571,47068.66009571
100,200,BlindBlendAS,55,47068.66009571,47068.66009571
100,200,BlindBlendAS,56,47068.66009571,47068.66009571
100,200,BlindBlendAS,57,47068.66009571,47068.66009571
100,200,BlindBlendAS,58,47068.66009571,47068.66009571
100,200,BlindBlendAS,59,46967.84674440,46967.84674440
100,200,BlindBlendAS,60,46856.93068596,46856.93068596
100,200,BlindBlendAS,61,46856.93068596,46856.93068596
100,200,BlindBlendAS,62,46812.18543835,46812.18543835
100,200,BlindBlendAS,63,46812.18543835,46812.18543835
100,200,BlindBlendAS,64,46812.18543835,46812.18543835
100,200,BlindBlendAS,65,46209.47816529,46209.47816529
100,200,BlindBlendAS,66,46046.97229445,46046.97229445
100,200,BlindBlendAS,67,45870.86305296,45870.86305296
100,200,BlindBlendAS,68,45825.54411163,45825.54411163
100,200,BlindBlendAS,69,45825.54411163,45825.54411163
100,200,BlindBlendAS,70,45813.00431906,45813.00431906
100,200,BlindBlendAS,71,45786.96812279,45786.96812279
100,200,BlindBlendAS,72,45749.91985457,45749.91985457
100,200,BlindBlendAS,73,45556.02823837,45556.02823837
100,200,BlindBlendAS,74,45536.05532070,45536.05532070
100,200,BlindBlendAS,75,45518.91493590,45518.91493590
100,200,BlindBlendAS,76,45518.91493590,45518.91493590
100,200,BlindBlendAS,77,45518.91493590,45518.91493590
100,200,BlindBlendAS,78,45420.35391773,45420.35391773
100,200,BlindBlendAS,79,45393.20604336,45393.20604336
100,200,BlindBlendAS,80,45397.40383616,45393.20604336
