algorithm,runs,average_best_distance,average_distance_per_city,best_distance,worst_distance
BlindBlendAS,101,60571.45405427,242.28581622,57084.33154262,63664.20510393
BaselineAS,101,64658.67751175,258.63471005,61564.30861151,67855.33204618
ElitistAS,101,64413.50199233,257.65400797,61222.60924639,67777.57186841
MaxMinAS,101,61449.58354346,245.79833417,58777.60180114,64888.39847941
