algorithm,runs,average_best_distance,average_distance_per_city,best_distance,worst_distance
BlindBlendAS,101,28759.15527795,188.26715514,15251.54950366,43655.86211480
BaselineAS,101,30023.42238320,196.21034538,15737.56234117,46402.50532890
ElitistAS,101,29932.69600933,195.61440422,15509.39943595,46268.46805616
MaxMinAS,101,28959.74207461,189.50151462,15580.99487523,43828.58147297
