algorithm,runs,average_best_distance,average_distance_per_city,best_distance,worst_distance
BlindBlendAS,101,15825.61846808,158.25618468,14740.98674548,17185.05106620
BaselineAS,101,16363.95630915,163.63956309,15372.71512847,18322.04401144
ElitistAS,101,16182.01563873,161.82015639,14925.83505884,18081.58448227
MaxMinAS,101,15972.65966625,159.72659666,14653.57367785,17322.65008248
