algorithm,runs,average_best_distance,average_distance_per_city,best_distance,worst_distance
BlindBlendAS,101,43642.65130638,218.21325653,40898.49296125,46053.84487862
BaselineAS,101,46002.08953033,230.01044765,43737.34138430,48678.18492107
ElitistAS,101,45865.30517009,229.32652585,43700.27077473,48278.93975129
MaxMinAS,101,43904.31854045,219.52159270,41696.54836650,46166.31457464
