algorithm,runs,average_best_distance,average_distance_per_city,best_distance,worst_distance
BlindBlendAS,101,29012.10502095,193.41403347,26516.85900110,30866.42340136
BaselineAS,101,30383.11435490,202.55409570,28220.59866152,32974.28681265
ElitistAS,101,30094.36778870,200.62911859,27627.73430425,33141.06269797
MaxMinAS,101,29414.84501725,196.09896678,27200.04290395,31442.07672667
