n_cities,algorithm,best_distance,distance_per_city
100,BlindBlendAS,59832.07498817,239.32829995
100,BaselineAS,63476.47873675,253.90591495
100,ElitistAS,62916.33483172,251.66533933
100,MaxMinAS,61402.61970758,245.61047883
101,BlindBlendAS,62333.60001158,249.33440005
101,BaselineAS,65457.36078569,261.82944314
101,ElitistAS,65547.98729173,262.19194917
101,MaxMinAS,62160.08485805,248.64033943
102,BlindBlendAS,63664.20510393,254.65682042
102,BaselineAS,66376.10931418,265.50443726
102,ElitistAS,67018.90109188,268.07560437
102,MaxMinAS,63657.52386496,254.63009546
103,BlindBlendAS,60499.27895159,241.99711581
103,BaselineAS,64740.36286984,258.96145148
103,ElitistAS,64177.52343858,256.71009375
103,MaxMinAS,61754.87873659,247.01951495
104,BlindBlendAS,59215.50710247,236.86202841
104,BaselineAS,63153.96609642,252.61586439
104,ElitistAS,62777.30947916,251.10923792
104,MaxMinAS,59545.74377516,238.18297510
105,BlindBlendAS,59721.78157691,238.88712631
105,BaselineAS,63074.98218782,252.29992875
105,ElitistAS,63278.54677796,253.11418711
105,MaxMinAS,61138.96027459,244.55584110
106,BlindBlendAS,59212.85479245,236.85141917
106,BaselineAS,64150.36247287,256.60144989
106,ElitistAS,63680.07504909,254.72030020
106,MaxMinAS,60927.10593933,243.70842376
107,BlindBlendAS,60991.21828741,243.96487315
107,BaselineAS,65335.65093837,261.34260375
107,ElitistAS,65092.71272666,260.37085091
107,MaxMinAS,62766.42013912,251.06568056
108,BlindBlendAS,59643.90949287,238.57563797
108,BaselineAS,62943.00738504,251.77202954
108,ElitistAS,63124.06295932,252.49625184
108,MaxMinAS,59793.54305676,239.17417223
109,BlindBlendAS,60673.12269289,242.69249077
109,BaselineAS,65201.35206289,260.80540825
109,ElitistAS,64320.78695841,257.28314783
109,MaxMinAS,61729.48188526,246.91792754
110,BlindBlendAS,59659.20432352,238.63681729
110,BaselineAS,62328.81117775,249.31524471
110,ElitistAS,61764.73502793,247.05894011
110,MaxMinAS,60066.26603658,240.26506415
111,BlindBlendAS,60878.32568227,243.51330273
111,BaselineAS,63525.38653712,254.10154615
111,ElitistAS,63569.79215374,254.27916861
111,MaxMinAS,61090.86411735,244.36345647
112,BlindBlendAS,61090.06185314,244.36024741
112,BaselineAS,65485.61214268,261.94244857
112,ElitistAS,65406.65881126,261.62663525
112,MaxMinAS,62831.43603818,251.32574415
113,BlindBlendAS,61782.62852857,247.13051411
113,BaselineAS,65649.69211293,262.59876845
113,ElitistAS,65316.92438019,261.26769752
113,MaxMinAS,62878.51934862,251.51407739
114,BlindBlendAS,60268.03985374,241.07215941
114,BaselineAS,63930.19993441,255.72079974
114,ElitistAS,63321.52840643,253.28611363
114,MaxMinAS,61412.05730790,245.64822923
115,BlindBlendAS,59693.65655073,238.77462620
115,BaselineAS,63656.97701531,254.62790806
115,ElitistAS,64075.02422340,256.30009689
115,MaxMinAS,61635.42292562,246.54169170
116,BlindBlendAS,60712.29746064,242.84918984
116,BaselineAS,65731.39613091,262.92558452
116,ElitistAS,65824.53907598,263.29815630
116,MaxMinAS,61466.09199271,245.86436797
117,BlindBlendAS,59874.40213392,239.49760854
117,BaselineAS,64341.28112350,257.36512449
117,ElitistAS,64023.59471068,256.09437884
117,MaxMinAS,61564.32930680,246.25731723
118,BlindBlendAS,58570.72180156,234.28288721
118,BaselineAS,62568.86472564,250.27545890
118,ElitistAS,62454.46517716,249.81786071
118,MaxMinAS,59356.47646506,237.42590586
119,BlindBlendAS,61077.20046336,244.30880185
119,BaselineAS,64599.00114880,258.39600460
119,ElitistAS,63616.39021755,254.46556087
119,MaxMinAS,60812.44082399,243.24976330
120,BlindBlendAS,60122.38890916,240.48955564
120,BaselineAS,65041.30740909,260.16522964
120,ElitistAS,64787.80535898,259.15122144
120,MaxMinAS,61164.62940663,244.65851763
121,BlindBlendAS,59229.94509424,236.91978038
121,BaselineAS,63457.95638728,253.83182555
121,ElitistAS,63275.79393789,253.10317575
121,MaxMinAS,59883.91969038,239.53567876
122,BlindBlendAS,61372.90923776,245.49163695
122,BaselineAS,64431.22203317,257.72488813
122,ElitistAS,64839.86663124,259.35946652
122,MaxMinAS,61032.18808586,244.12875234
123,BlindBlendAS,60277.17360262,241.10869441
123,BaselineAS,65744.37289475,262.97749158
123,ElitistAS,64160.55394061,256.64221576
123,MaxMinAS,62294.12488649,249.17649955
124,BlindBlendAS,62172.39475762,248.68957903
124,BaselineAS,66953.52420581,267.81409682
124,ElitistAS,66738.43042663,266.95372171
124,MaxMinAS,64545.75967157,258.18303869
125,BlindBlendAS,58816.97911138,235.26791645
125,BaselineAS,63681.77248622,254.72708994
125,ElitistAS,63949.08805091,255.79635220
125,MaxMinAS,59918.61276082,239.67445104
126,BlindBlendAS,60306.92389735,241.22769559
126,BaselineAS,63871.26117583,255.48504470
126,ElitistAS,63635.75660547,254.54302642
126,MaxMinAS,59956.85778640,239.82743115
127,BlindBlendAS,61348.80605170,245.39522421
127,BaselineAS,65122.47545129,260.48990181
127,ElitistAS,65093.27785756,260.37311143
127,MaxMinAS,61757.96480682,247.03185923
128,BlindBlendAS,59225.80839418,236.90323358
128,BaselineAS,63846.26560388,255.38506242
128,ElitistAS,63690.54023558,254.76216094
128,MaxMinAS,60043.16484456,240.17265938
129,BlindBlendAS,61122.52245436,244.49008982
129,BaselineAS,64740.94583661,258.96378335
129,ElitistAS,65070.61634916,260.28246540
129,MaxMinAS,61054.69466989,244.21877868
130,BlindBlendAS,59185.20949618,236.74083798
130,BaselineAS,63068.31248949,252.27324996
130,ElitistAS,63341.54664718,253.36618659
130,MaxMinAS,60380.47057821,241.52188231
131,BlindBlendAS,61877.62920897,247.51051684
131,BaselineAS,66479.12942212,265.91651769
131,ElitistAS,66297.58772338,265.19035089
131,MaxMinAS,62360.70377955,249.44281512
132,BlindBlendAS,61410.87052347,245.64348209
132,BaselineAS,66031.47543811,264.12590175
132,ElitistAS,64346.28177136,257.38512709
132,MaxMinAS,62267.28202859,249.06912811
133,BlindBlendAS,62523.21585269,250.09286341
133,BaselineAS,67376.28597831,269.50514391
133,ElitistAS,66144.97544488,264.57990178
133,MaxMinAS,62473.84356498,249.89537426
134,BlindBlendAS,61680.52381012,246.72209524
134,BaselineAS,65879.48317538,263.51793270
134,ElitistAS,65611.01111901,262.44404448
134,MaxMinAS,62081.01163062,248.32404652
135,BlindBlendAS,59284.63907381,237.13855630
135,BaselineAS,64194.51018597,256.77804074
135,ElitistAS,62784.91555101,251.13966220
135,MaxMinAS,59602.61787803,238.41047151
136,BlindBlendAS,59219.42378696,236.87769515
136,BaselineAS,62227.29653466,248.90918614
136,ElitistAS,62269.00345185,249.07601381
136,MaxMinAS,59938.73320555,239.75493282
137,BlindBlendAS,60354.48688422,241.41794754
137,BaselineAS,64125.62971091,256.50251884
137,ElitistAS,64001.12242826,256.00448971
137,MaxMinAS,60490.58025111,241.96232100
138,BlindBlendAS,60962.06066368,243.84824265
138,BaselineAS,66494.18914381,265.97675658
138,ElitistAS,65926.17259774,263.70469039
138,MaxMinAS,62097.96192916,248.39184772
139,BlindBlendAS,62707.65457927,250.83061832
139,BaselineAS,66958.04345872,267.83217383
139,ElitistAS,66827.73277491,267.31093110
139,MaxMinAS,64888.39847941,259.55359392
140,BlindBlendAS,61241.67895778,244.96671583
140,BaselineAS,64743.82198622,258.97528794
140,ElitistAS,65829.94405275,263.31977621
140,MaxMinAS,62576.34817258,250.30539269
141,BlindBlendAS,62324.58916971,249.29835668
141,BaselineAS,66975.66789885,267.90267160
141,ElitistAS,66706.22572461,266.82490290
141,MaxMinAS,63611.04660860,254.44418643
142,BlindBlendAS,61915.91319604,247.66365278
142,BaselineAS,65048.26100067,260.19304400
142,ElitistAS,65822.80656527,263.29122626
142,MaxMinAS,62033.48303709,248.13393215
143,BlindBlendAS,60009.67610120,240.03870440
143,BaselineAS,64759.02931823,259.03611727
143,ElitistAS,64018.95589653,256.07582359
143,MaxMinAS,60950.46539486,243.80186158
144,BlindBlendAS,60787.08848401,243.14835394
144,BaselineAS,64717.14839164,258.86859357
144,ElitistAS,65069.43799634,260.27775199
144,MaxMinAS,61054.60998964,244.21843996
145,BlindBlendAS,59578.02808175,238.31211233
145,BaselineAS,63898.85160515,255.59540642
145,ElitistAS,62821.92159048,251.28768636
145,MaxMinAS,60764.57230044,243.05828920
146,BlindBlendAS,60682.27409182,242.72909637
146,BaselineAS,65666.58621780,262.66634487
146,ElitistAS,65414.61728329,261.65846913
146,MaxMinAS,61450.60150927,245.80240604
147,BlindBlendAS,61765.36387846,247.06145551
147,BaselineAS,66135.30628517,264.54122514
147,ElitistAS,66215.78979357,264.86315917
147,MaxMinAS,62398.73171218,249.59492685
148,BlindBlendAS,61106.33645000,244.42534580
148,BaselineAS,65444.47051597,261.77788206
148,ElitistAS,64810.68211113,259.24272844
148,MaxMinAS,62557.63076435,250.23052306
149,BlindBlendAS,61012.36248768,244.04944995
149,BaselineAS,65465.91514263,261.86366057
149,ElitistAS,65437.68509392,261.75074038
149,MaxMinAS,62304.25663751,249.21702655
150,BlindBlendAS,58424.65432200,233.69861729
150,BaselineAS,63513.07935797,254.05231743
150,ElitistAS,63029.03162938,252.11612652
150,MaxMinAS,59346.84666870,237.38738667
151,BlindBlendAS,60531.62474437,242.12649898
151,BaselineAS,65129.19411504,260.51677646
151,ElitistAS,64705.68815746,258.82275263
151,MaxMinAS,61366.82569883,245.46730280
152,BlindBlendAS,60496.10990213,241.98443961
152,BaselineAS,64851.29883551,259.40519534
152,ElitistAS,64504.93934436,258.01975738
152,MaxMinAS,60376.41229862,241.50564919
153,BlindBlendAS,59718.54950029,238.87419800
153,BaselineAS,64023.32314055,256.09329256
153,ElitistAS,63895.61559220,255.58246237
153,MaxMinAS,60361.99965117,241.44799860
154,BlindBlendAS,60215.63276678,240.86253107
154,BaselineAS,63771.05718295,255.08422873
154,ElitistAS,63358.28866740,253.43315467
154,MaxMinAS,61479.89100697,245.91956403
155,BlindBlendAS,59814.09975399,239.25639902
155,BaselineAS,63383.08010382,253.53232042
155,ElitistAS,62551.92982242,250.20771929
155,MaxMinAS,60181.82614562,240.72730458
156,BlindBlendAS,60674.32162469,242.69728650
156,BaselineAS,64760.86257778,259.04345031
156,ElitistAS,64611.02441309,258.44409765
156,MaxMinAS,60964.84148867,243.85936595
157,BlindBlendAS,62041.10346131,248.16441385
157,BaselineAS,65247.22670110,260.98890680
157,ElitistAS,64834.24160314,259.33696641
157,MaxMinAS,63211.14394196,252.84457577
158,BlindBlendAS,60587.97551958,242.35190208
158,BaselineAS,64683.75087931,258.73500352
158,ElitistAS,64192.24220335,256.76896881
158,MaxMinAS,61776.40579990,247.10562320
159,BlindBlendAS,61791.03699809,247.16414799
159,BaselineAS,65754.24256743,263.01697027
159,ElitistAS,65581.29204407,262.32516818
159,MaxMinAS,62051.20938605,248.20483754
160,BlindBlendAS,59724.74902463,238.89899610
160,BaselineAS,64676.90998048,258.70763992
160,ElitistAS,63673.48376767,254.69393507
160,MaxMinAS,60403.01404528,241.61205618
161,BlindBlendAS,60658.38743950,242.63354976
161,BaselineAS,65460.83844417,261.84335378
161,ElitistAS,64981.23362204,259.92493449
161,MaxMinAS,61596.45014729,246.38580059
162,BlindBlendAS,59364.70857942,237.45883432
162,BaselineAS,64153.82178138,256.61528713
162,ElitistAS,63941.70465067,255.76681860
162,MaxMinAS,60787.88921557,243.15155686
163,BlindBlendAS,61186.69515933,244.74678064
163,BaselineAS,65202.98937142,260.81195749
163,ElitistAS,64963.70171025,259.85480684
163,MaxMinAS,61805.23376226,247.22093505
164,BlindBlendAS,61280.84026843,245.12336107
164,BaselineAS,65283.81539130,261.13526157
164,ElitistAS,65523.15412560,262.09261650
164,MaxMinAS,62223.33343398,248.89333374
165,BlindBlendAS,59022.35541931,236.08942168
165,BaselineAS,63117.63433504,252.47053734
165,ElitistAS,63970.41807645,255.88167231
165,MaxMinAS,60832.47808108,243.32991232
166,BlindBlendAS,62775.84608211,251.10338433
166,BaselineAS,66057.28292867,264.22913171
166,ElitistAS,65350.30879423,261.40123518
166,MaxMinAS,62945.30755407,251.78123022
167,BlindBlendAS,61632.66074418,246.53064298
167,BaselineAS,66700.26867724,266.80107471
167,ElitistAS,65802.16326576,263.20865306
167,MaxMinAS,62568.14007500,250.27256030
168,BlindBlendAS,58537.37162533,234.14948650
168,BaselineAS,61809.94430978,247.23977724
168,ElitistAS,61921.42951491,247.68571806
168,MaxMinAS,60115.68629382,240.46274518
169,BlindBlendAS,60828.41568885,243.31366276
169,BaselineAS,64551.23444391,258.20493778
169,ElitistAS,64853.72732218,259.41490929
169,MaxMinAS,62701.96403472,250.80785614
170,BlindBlendAS,59459.08803197,237.83635213
170,BaselineAS,61564.30861151,246.25723445
170,ElitistAS,63007.53269647,252.03013079
170,MaxMinAS,59558.02680697,238.23210723
171,BlindBlendAS,59409.37404556,237.63749618
171,BaselineAS,63798.29165904,255.19316664
171,ElitistAS,62846.48576307,251.38594305
171,MaxMinAS,61735.78127872,246.94312511
172,BlindBlendAS,60396.93348289,241.58773393
172,BaselineAS,64428.61840765,257.71447363
172,ElitistAS,64448.34063824,257.79336255
172,MaxMinAS,62082.61578921,248.33046316
173,BlindBlendAS,62373.45043594,249.49380174
173,BaselineAS,65964.59498429,263.85837994
173,ElitistAS,65992.43616224,263.96974465
173,MaxMinAS,62393.61999653,249.57447999
174,BlindBlendAS,60286.19984404,241.14479938
174,BaselineAS,64701.35011024,258.80540044
174,ElitistAS,64526.21915392,258.10487662
174,MaxMinAS,61336.95204300,245.34780817
175,BlindBlendAS,59152.51703912,236.61006816
175,BaselineAS,64932.64015770,259.73056063
175,ElitistAS,63427.79244009,253.71116976
175,MaxMinAS,62117.78617675,248.47114471
176,BlindBlendAS,60980.65805590,243.92263222
176,BaselineAS,65537.47116868,262.14988467
176,ElitistAS,64941.31533380,259.76526134
176,MaxMinAS,62702.86500713,250.81146003
177,BlindBlendAS,63346.14263084,253.38457052
177,BaselineAS,67855.33204618,271.42132818
177,ElitistAS,67777.57186841,271.11028747
177,MaxMinAS,64775.16620350,259.10066481
178,BlindBlendAS,62916.26199811,251.66504799
178,BaselineAS,65937.67666275,263.75070665
178,ElitistAS,64690.26243513,258.76104974
178,MaxMinAS,61921.92541530,247.68770166
179,BlindBlendAS,60924.90832343,243.69963329
179,BaselineAS,64561.34800169,258.24539201
179,ElitistAS,65587.24647474,262.34898590
179,MaxMinAS,62392.07040449,249.56828162
180,BlindBlendAS,57084.33154262,228.33732617
180,BaselineAS,61790.77629316,247.16310517
180,ElitistAS,61362.91021133,245.45164085
180,MaxMinAS,58777.60180114,235.11040720
181,BlindBlendAS,59918.14221581,239.67256886
181,BaselineAS,64061.68932519,256.24675730
181,ElitistAS,63153.58298001,252.61433192
181,MaxMinAS,59996.01473949,239.98405896
182,BlindBlendAS,59799.98741396,239.19994966
182,BaselineAS,63597.06465474,254.38825862
182,ElitistAS,63901.39841303,255.60559365
182,MaxMinAS,59856.94156083,239.42776624
183,BlindBlendAS,60339.38698841,241.35754795
183,BaselineAS,62829.69171660,251.31876687
183,ElitistAS,62122.75954940,248.49103820
183,MaxMinAS,60524.45808126,242.09783233
184,BlindBlendAS,59057.59433900,236.23037736
184,BaselineAS,63032.67528055,252.13070112
184,ElitistAS,62604.49397857,250.41797591
184,MaxMinAS,59150.74513475,236.60298054
185,BlindBlendAS,60739.79449682,242.95917799
185,BaselineAS,65196.02969999,260.78411880
185,ElitistAS,65129.07081004,260.51628324
185,MaxMinAS,61948.58413672,247.79433655
186,BlindBlendAS,59979.32242515,239.91728970
186,BaselineAS,62477.23860180,249.90895441
186,ElitistAS,62639.73565495,250.55894262
186,MaxMinAS,58853.65075758,235.41460303
187,BlindBlendAS,60214.05844560,240.85623378
187,BaselineAS,63973.41922420,255.89367690
187,ElitistAS,64504.57817825,258.01831271
187,MaxMinAS,61304.98682664,245.21994731
188,BlindBlendAS,59098.68528965,236.39474116
188,BaselineAS,64578.99198642,258.31596795
188,ElitistAS,64131.32660810,256.52530643
188,MaxMinAS,61189.87615899,244.75950464
189,BlindBlendAS,60210.50170245,240.84200681
189,BaselineAS,66888.49755758,267.55399023
189,ElitistAS,66785.13817409,267.14055270
189,MaxMinAS,62158.22933515,248.63291734
190,BlindBlendAS,61175.51608549,244.70206434
190,BaselineAS,64647.78231407,258.59112926
190,ElitistAS,64484.25155651,257.93700623
190,MaxMinAS,62233.52840101,248.93411360
191,BlindBlendAS,61674.74495149,246.69897981
191,BaselineAS,65269.24598048,261.07698392
191,ElitistAS,65257.56308125,261.03025233
191,MaxMinAS,62510.48414016,250.04193656
192,BlindBlendAS,60779.27363624,243.11709454
192,BaselineAS,64701.58280063,258.80633120
192,ElitistAS,64932.59390926,259.73037564
192,MaxMinAS,62130.28932498,248.52115730
193,BlindBlendAS,60564.31544089,242.25726176
193,BaselineAS,64985.87301552,259.94349206
193,ElitistAS,64670.58385397,258.68233542
193,MaxMinAS,60341.96031568,241.36784126
194,BlindBlendAS,62198.18090498,248.79272362
194,BaselineAS,64951.25876725,259.80503507
194,ElitistAS,64239.84134077,256.95936536
194,MaxMinAS,61507.45103449,246.02980414
195,BlindBlendAS,61062.26427605,244.24905710
195,BaselineAS,65220.71355760,260.88285423
195,ElitistAS,64913.90151138,259.65560605
195,MaxMinAS,62742.49049376,250.96996198
196,BlindBlendAS,61193.77932774,244.77511731
196,BaselineAS,66139.87660391,264.55950642
196,ElitistAS,65148.20379752,260.59281519
196,MaxMinAS,62365.89711223,249.46358845
197,BlindBlendAS,59966.87754585,239.86751018
197,BaselineAS,64573.69241696,258.29476967
197,ElitistAS,64490.42875674,257.96171503
197,MaxMinAS,61495.88634079,245.98354536
198,BlindBlendAS,58945.97529649,235.78390119
198,BaselineAS,61861.85876820,247.44743507
198,ElitistAS,61222.60924639,244.89043699
198,MaxMinAS,60413.49354494,241.65397418
199,BlindBlendAS,61677.49181016,246.70996724
199,BaselineAS,66215.73642442,264.86294570
