algorithm,runs,average_best_distance,average_distance_per_city,best_distance,worst_distance
BlindBlendAS,101,62814.01680373,251.25606721,59610.23460853,67704.48323133
BaselineAS,101,66797.41439863,267.18965759,62192.94049928,70719.91639118
ElitistAS,101,66278.58351462,265.11433406,60377.15958206,70665.97651258
MaxMinAS,101,64421.54041284,257.68616165,60919.25351923,69034.66984089
