algorithm,runs,average_best_distance,average_distance_per_city,best_distance,worst_distance
BlindBlendAS,101,28369.98799078,189.13325327,26537.13957799,30189.86001352
BaselineAS,101,29612.01874871,197.41345832,27793.07452887,31715.68769920
ElitistAS,101,29492.50027181,196.61666848,27501.78966526,31900.54942975
MaxMinAS,101,28541.35809256,190.27572062,26461.91731283,30570.60036782
