n_cities,algorithm,best_distance,distance_per_city
100,BlindBlendAS,16003.87705126,160.03877051
100,BaselineAS,16110.00351473,161.10003515
100,ElitistAS,15999.76229235,159.99762292
100,MaxMinAS,15724.53474209,157.24534742
101,BlindBlendAS,15543.65648083,155.43656481
101,BaselineAS,16145.16694940,161.45166949
101,ElitistAS,16112.58811449,161.12588114
101,MaxMinAS,16003.66451805,160.03664518
102,BlindBlendAS,16215.56159280,162.15561593
102,BaselineAS,16421.27174945,164.21271749
102,ElitistAS,16508.62883579,165.08628836
102,MaxMinAS,15961.58869426,159.61588694
103,BlindBlendAS,15761.11300476,157.61113005
103,BaselineAS,16527.16725064,165.27167251
103,ElitistAS,16343.68856141,163.43688561
103,MaxMinAS,16011.65659614,160.11656596
104,BlindBlendAS,16256.99381645,162.56993816
104,BaselineAS,17159.63512433,171.59635124
104,ElitistAS,16975.20694815,169.75206948
104,MaxMinAS,16415.32623681,164.15326237
105,BlindBlendAS,15618.06161756,156.18061618
105,BaselineAS,16063.78247638,160.63782476
105,ElitistAS,15868.33906381,158.68339064
105,MaxMinAS,15972.08978794,159.72089788
106,BlindBlendAS,16348.76241690,163.48762417
106,BaselineAS,16894.87847966,168.94878480
106,ElitistAS,16693.29199854,166.93291999
106,MaxMinAS,16399.53752631,163.99537526
107,BlindBlendAS,16160.81344010,161.60813440
107,BaselineAS,17029.23880634,170.29238806
107,ElitistAS,16926.72643543,169.26726435
107,MaxMinAS,16225.96782838,162.25967828
108,BlindBlendAS,15448.05654952,154.48056550
108,BaselineAS,16068.70256214,160.68702562
108,ElitistAS,15960.02111707,159.60021117
108,MaxMinAS,15907.82177165,159.07821772
109,BlindBlendAS,16019.23619105,160.19236191
109,BaselineAS,16510.21440015,165.10214400
109,ElitistAS,16330.77822525,163.30778225
109,MaxMinAS,16108.65794221,161.08657942
110,BlindBlendAS,16340.19165329,163.40191653
110,BaselineAS,16432.81579556,164.32815796
110,ElitistAS,16008.23357197,160.08233572
110,MaxMinAS,16093.94838326,160.93948383
111,BlindBlendAS,15182.63271264,151.82632713
111,BaselineAS,15692.01667878,156.92016679
111,ElitistAS,15451.21339602,154.51213396
111,MaxMinAS,15452.29273183,154.52292732
112,BlindBlendAS,16504.93884645,165.04938846
112,BaselineAS,17350.47926744,173.50479267
112,ElitistAS,17459.31482742,174.59314827
112,MaxMinAS,16890.62862859,168.90628629
113,BlindBlendAS,15816.61464699,158.16614647
113,BaselineAS,16346.94664211,163.46946642
113,ElitistAS,16276.06407316,162.76064073
113,MaxMinAS,15884.61866189,158.84618662
114,BlindBlendAS,15975.16680693,159.75166807
114,BaselineAS,16023.09680435,160.23096804
114,ElitistAS,15740.24138763,157.40241388
114,MaxMinAS,16297.27726454,162.97277265
115,BlindBlendAS,15527.30635131,155.27306351
115,BaselineAS,16300.26086756,163.00260868
