algorithm,runs,average_best_distance,average_distance_per_city,best_distance,worst_distance
BlindBlendAS,41,20441.55137044,169.67738978,15251.54950366,25160.27492162
BaselineAS,41,21074.79083736,174.85606590,15737.56234117,26265.17641384
ElitistAS,41,21022.22038004,174.37849381,15509.39943595,26443.47956544
MaxMinAS,41,20467.05417929,169.87348132,15326.92671112,25382.45004595
