schedule,start_evaporation,end_evaporation,curve,iteration,evaporation
exponential,0.90000000,0.20000000,-4.00000000,42,0.21006670
exponential,0.90000000,0.20000000,-4.00000000,43,0.20825380
exponential,0.90000000,0.20000000,-4.00000000,44,0.20658301
exponential,0.90000000,0.20000000,-4.00000000,45,0.20504319
exponential,0.90000000,0.20000000,-4.00000000,46,0.20362407
exponential,0.90000000,0.20000000,-4.00000000,47,0.20231621
exponential,0.90000000,0.20000000,-4.00000000,48,0.20111086
exponential,0.90000000,0.20000000,-4.00000000,49,0.20000000
exponential,0.90000000,0.20000000,-2.00000000,0,0.90000000
exponential,0.90000000,0.20000000,-2.00000000,1,0.86762191
exponential,0.90000000,0.20000000,-2.00000000,2,0.83653877
exponential,0.90000000,0.20000000,-2.00000000,3,0.80669878
exponential,0.90000000,0.20000000,-2.00000000,4,0.77805224
exponential,0.90000000,0.20000000,-2.00000000,5,0.75055139
exponential,0.90000000,0.20000000,-2.00000000,6,0.72415044
exponential,0.90000000,0.20000000,-2.00000000,7,0.69880537
exponential,0.90000000,0.20000000,-2.00000000,8,0.67447397
exponential,0.90000000,0.20000000,-2.00000000,9,0.65111570
exponential,0.90000000,0.20000000,-2.00000000,10,0.62869163
exponential,0.90000000,0.20000000,-2.00000000,11,0.60716440
exponential,0.90000000,0.20000000,-2.00000000,12,0.58649814
exponential,0.90000000,0.20000000,-2.00000000,13,0.56665842
exponential,0.90000000,0.20000000,-2.00000000,14,0.54761218
exponential,0.90000000,0.20000000,-2.00000000,15,0.52932769
exponential,0.90000000,0.20000000,-2.00000000,16,0.51177447
exponential,0.90000000,0.20000000,-2.00000000,17,0.49492329
exponential,0.90000000,0.20000000,-2.00000000,18,0.47874607
exponential,0.90000000,0.20000000,-2.00000000,19,0.46321584
exponential,0.90000000,0.20000000,-2.00000000,20,0.44830674
exponential,0.90000000,0.20000000,-2.00000000,21,0.43399393
exponential,0.90000000,0.20000000,-2.00000000,22,0.42025355
exponential,0.90000000,0.20000000,-2.00000000,23,0.40706271
exponential,0.90000000,0.20000000,-2.00000000,24,0.39439943
exponential,0.90000000,0.20000000,-2.00000000,25,0.38224261
exponential,0.90000000,0.20000000,-2.00000000,26,0.37057200
exponential,0.90000000,0.20000000,-2.00000000,27,0.35936815
exponential,0.90000000,0.20000000,-2.00000000,28,0.34861239
exponential,0.90000000,0.20000000,-2.00000000,29,0.33828681
exponential,0.90000000,0.20000000,-2.00000000,30,0.32837419
exponential,0.90000000,0.20000000,-2.00000000,31,0.31885802
exponential,0.90000000,0.20000000,-2.00000000,32,0.30972245
exponential,0.90000000,0.20000000,-2.00000000,33,0.30095225
exponential,0.90000000,0.20000000,-2.00000000,34,0.29253281
exponential,0.90000000,0.20000000,-2.00000000,35,0.28445011
exponential,0.90000000,0.20000000,-2.00000000,36,0.27669066
exponential,0.90000000,0.20000000,-2.00000000,37,0.26924156
exponential,0.90000000,0.20000000,-2.00000000,38,0.26209037
exponential,0.90000000,0.20000000,-2.00000000,39,0.25522520
exponential,0.90000000,0.20000000,-2.00000000,40,0.24863459
exponential,0.90000000,0.20000000,-2.00000000,41,0.24230758
exponential,0.90000000,0.20000000,-2.00000000,42,0.23623361
exponential,0.90000000,0.20000000,-2.00000000,43,0.23040256
exponential,0.90000000,0.20000000,-2.00000000,44,0.22480473
exponential,0.90000000,0.20000000,-2.00000000,45,0.21943077
exponential,0.90000000,0.20000000,-2.00000000,46,0.21427175
exponential,0.90000000,0.20000000,-2.00000000,47,0.20931906
exponential,0.90000000,0.20000000,-2.00000000,48,0.20456445
exponential,0.90000000,0.20000000,-2.00000000,49,0.20000000
exponential,0.90000000,0.20000000,-1.00000000,0,0.90000000
exponential,0.90000000,0.20000000,-1.00000000,1,0.87762938
exponential,0.90000000,0.20000000,-1.00000000,2,0.85571068
exponential,0.90000000,0.20000000,-1.00000000,3,0.83423476
exponential,0.90000000,0.20000000,-1.00000000,4,0.81319269
exponential,0.90000000,0.20000000,-1.00000000,5,0.79257569
exponential,0.90000000,0.20000000,-1.00000000,6,0.77237519
exponential,0.90000000,0.20000000,-1.00000000,7,0.75258276
exponential,0.90000000,0.20000000,-1.00000000,8,0.73319016
exponential,0.90000000,0.20000000,-1.00000000,9,0.71418932
exponential,0.90000000,0.20000000,-1.00000000,10,0.69557233
exponential,0.90000000,0.20000000,-1.00000000,11,0.67733142
exponential,0.90000000,0.20000000,-1.00000000,12,0.65945900
exponential,0.90000000,0.20000000,-1.00000000,13,0.64194763
exponential,0.90000000,0.20000000,-1.00000000,14,0.62479001
exponential,0.90000000,0.20000000,-1.00000000,15,0.60797899
exponential,0.90000000,0.20000000,-1.00000000,16,0.59150759
exponential,0.90000000,0.20000000,-1.00000000,17,0.57536892
exponential,0.90000000,0.20000000,-1.00000000,18,0.55955628
exponential,0.90000000,0.20000000,-1.00000000,19,0.54406308
exponential,0.90000000,0.20000000,-1.00000000,20,0.52888286
