parameter,value,seed_index,python_seed,city_seed,best_distance,blind_rounds
ant_parameter_variation,0.2000,12,55,59,15106.19787749,20
ant_parameter_variation,0.2000,13,56,60,15590.88420261,25
ant_parameter_variation,0.2000,14,57,61,15173.48112265,25
ant_parameter_variation,0.2000,15,58,62,15345.05920657,30
ant_parameter_variation,0.2000,16,59,63,15318.78668691,20
ant_parameter_variation,0.2000,17,60,64,15324.84854606,15
ant_parameter_variation,0.2000,18,61,65,15596.97726926,15
ant_parameter_variation,0.2000,19,62,66,15219.03669463,20
blind_stagnation_limit,5,0,43,47,14561.13362450,60
blind_stagnation_limit,5,1,44,48,15674.57381585,60
blind_stagnation_limit,5,2,45,49,15807.49198582,50
blind_stagnation_limit,5,3,46,50,16716.18327196,50
blind_stagnation_limit,5,4,47,51,16127.60410205,50
blind_stagnation_limit,5,5,48,52,14988.73387485,65
blind_stagnation_limit,5,6,49,53,15690.33055748,50
blind_stagnation_limit,5,7,50,54,15794.20423141,45
blind_stagnation_limit,5,8,51,55,16377.62006973,60
blind_stagnation_limit,5,9,52,56,15755.86426605,70
blind_stagnation_limit,5,10,53,57,15501.27674794,65
blind_stagnation_limit,5,11,54,58,15810.89165767,45
blind_stagnation_limit,5,12,55,59,15186.04290734,55
blind_stagnation_limit,5,13,56,60,15702.51684702,60
blind_stagnation_limit,5,14,57,61,15154.40910106,70
blind_stagnation_limit,5,15,58,62,15191.90587466,45
blind_stagnation_limit,5,16,59,63,15283.20999015,60
blind_stagnation_limit,5,17,60,64,15444.97469245,55
blind_stagnation_limit,5,18,61,65,15331.49117102,55
blind_stagnation_limit,5,19,62,66,15023.35550177,65
blind_stagnation_limit,10,0,43,47,14561.13362450,30
blind_stagnation_limit,10,1,44,48,15366.09087125,10
blind_stagnation_limit,10,2,45,49,15807.49198582,25
blind_stagnation_limit,10,3,46,50,16647.84189969,10
blind_stagnation_limit,10,4,47,51,16124.17915505,15
blind_stagnation_limit,10,5,48,52,14831.10255567,10
blind_stagnation_limit,10,6,49,53,15949.93711454,25
blind_stagnation_limit,10,7,50,54,15784.03969516,20
blind_stagnation_limit,10,8,51,55,16283.40169944,20
blind_stagnation_limit,10,9,52,56,15746.60528987,30
blind_stagnation_limit,10,10,53,57,15501.27674794,30
blind_stagnation_limit,10,11,54,58,15911.19465911,10
blind_stagnation_limit,10,12,55,59,15217.97444555,25
blind_stagnation_limit,10,13,56,60,15662.03719002,20
blind_stagnation_limit,10,14,57,61,15134.61269338,30
blind_stagnation_limit,10,15,58,62,15265.46700419,10
blind_stagnation_limit,10,16,59,63,15319.20127490,15
blind_stagnation_limit,10,17,60,64,15363.43944484,25
blind_stagnation_limit,10,18,61,65,15331.49117102,25
blind_stagnation_limit,10,19,62,66,15023.35550177,30
blind_stagnation_limit,15,0,43,47,14561.13362450,20
blind_stagnation_limit,15,1,44,48,15457.89960841,5
blind_stagnation_limit,15,2,45,49,15783.36110030,10
blind_stagnation_limit,15,3,46,50,16687.15961314,10
blind_stagnation_limit,15,4,47,51,16124.17915505,10
blind_stagnation_limit,15,5,48,52,14831.10255567,15
blind_stagnation_limit,15,6,49,53,15698.57919709,5
blind_stagnation_limit,15,7,50,54,16055.01484749,10
blind_stagnation_limit,15,8,51,55,16282.82740430,10
blind_stagnation_limit,15,9,52,56,15746.60528987,15
blind_stagnation_limit,15,10,53,57,15500.70861134,15
blind_stagnation_limit,15,11,54,58,15917.51654648,10
blind_stagnation_limit,15,12,55,59,15217.97444555,15
blind_stagnation_limit,15,13,56,60,15554.98666738,5
blind_stagnation_limit,15,14,57,61,15133.32578598,15
blind_stagnation_limit,15,15,58,62,15396.92693660,10
blind_stagnation_limit,15,16,59,63,15328.91639337,15
blind_stagnation_limit,15,17,60,64,15395.65170943,10
blind_stagnation_limit,15,18,61,65,15324.56317180,10
blind_stagnation_limit,15,19,62,66,15023.35550177,20
blind_stagnation_limit,20,0,43,47,14561.13362450,15
blind_stagnation_limit,20,1,44,48,15569.15429656,5
blind_stagnation_limit,20,2,45,49,15704.59801025,5
blind_stagnation_limit,20,3,46,50,16643.77347031,5
blind_stagnation_limit,20,4,47,51,16124.17915505,5
blind_stagnation_limit,20,5,48,52,14950.83352376,5
